bot_type,run_id,q,bot_pos_init,button_pos_init,fire_init,steps,result,final_frame,seed_value
Bot 2,c1205ef3-c810-4fe2-a997-f869fc7ef2dc,0.1,"(38, 32)","(34, 14)","(26, 16)",30,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/c1205ef3-c810-4fe2-a997-f869fc7ef2dc.png,89
Bot 3,c0ba2a14-cb82-4958-ac2b-15cab6fd93f8,0.1,"(38, 32)","(34, 14)","(26, 16)",30,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/c0ba2a14-cb82-4958-ac2b-15cab6fd93f8.png,89
Bot 4,2f73a82b-4a9b-4562-b678-13cbb3651584,0.1,"(38, 32)","(34, 14)","(26, 16)",30,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/2f73a82b-4a9b-4562-b678-13cbb3651584.png,89
Bot 1,234c1107-f653-4a32-a7b6-2036c1f51634,0.1,"(18, 38)","(32, 2)","(7, 37)",52,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/234c1107-f653-4a32-a7b6-2036c1f51634.png,6290
Bot 2,ff4073f2-5a80-4528-a622-64fc00ba6c8d,0.1,"(18, 38)","(32, 2)","(7, 37)",52,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/ff4073f2-5a80-4528-a622-64fc00ba6c8d.png,6290
Bot 3,26c4d1f3-4406-484e-bb89-6b7a1b290398,0.1,"(18, 38)","(32, 2)","(7, 37)",52,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/26c4d1f3-4406-484e-bb89-6b7a1b290398.png,6290
Bot 4,3cbabcae-3209-47a9-9832-05704e781367,0.1,"(18, 38)","(32, 2)","(7, 37)",52,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/3cbabcae-3209-47a9-9832-05704e781367.png,6290
Bot 1,97a1d3b5-ca9f-440c-8a81-9aed311317f3,0.1,"(38, 19)","(13, 10)","(32, 18)",11,Bot ran into fire,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/97a1d3b5-ca9f-440c-8a81-9aed311317f3.png,9422
Bot 2,48d5c6bc-6580-451d-984f-352f58261dc4,0.1,"(38, 19)","(13, 10)","(32, 18)",40,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/48d5c6bc-6580-451d-984f-352f58261dc4.png,9422
Bot 3,7ff1fdc8-7d2f-4125-9861-91ccdb354a35,0.1,"(38, 19)","(13, 10)","(32, 18)",40,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/7ff1fdc8-7d2f-4125-9861-91ccdb354a35.png,9422
Bot 4,102faa00-c0af-46f6-b16b-5da7cbf7241c,0.1,"(38, 19)","(13, 10)","(32, 18)",40,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/102faa00-c0af-46f6-b16b-5da7cbf7241c.png,9422
Bot 1,154f713a-0e37-47ed-a07c-c85c865ea6df,0.15000000000000002,"(14, 4)","(2, 2)","(9, 19)",20,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/154f713a-0e37-47ed-a07c-c85c865ea6df.png,6933
Bot 2,ca49071f-9908-4f65-aae9-b30a810eeba4,0.15000000000000002,"(14, 4)","(2, 2)","(9, 19)",20,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/ca49071f-9908-4f65-aae9-b30a810eeba4.png,6933
Bot 3,f198aafa-6f73-4e53-9b19-a6e54caced1f,0.15000000000000002,"(14, 4)","(2, 2)","(9, 19)",20,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/f198aafa-6f73-4e53-9b19-a6e54caced1f.png,6933
Bot 4,7101ce34-7baf-4bce-a405-544509555185,0.15000000000000002,"(14, 4)","(2, 2)","(9, 19)",20,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/7101ce34-7baf-4bce-a405-544509555185.png,6933
Bot 1,68315f6e-ab19-449c-a681-d0c16d7f7460,0.15000000000000002,"(24, 37)","(28, 3)","(5, 36)",42,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/68315f6e-ab19-449c-a681-d0c16d7f7460.png,9721
Bot 2,27d28560-c98d-4175-9bf5-966a83ee139d,0.15000000000000002,"(24, 37)","(28, 3)","(5, 36)",42,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/27d28560-c98d-4175-9bf5-966a83ee139d.png,9721
Bot 3,82abff58-f4bb-4e64-9507-85a4627aa023,0.15000000000000002,"(24, 37)","(28, 3)","(5, 36)",42,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/82abff58-f4bb-4e64-9507-85a4627aa023.png,9721
Bot 4,f3a42d9d-3c73-4f71-a521-06648771ae0c,0.15000000000000002,"(24, 37)","(28, 3)","(5, 36)",42,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/f3a42d9d-3c73-4f71-a521-06648771ae0c.png,9721
Bot 1,6de0104c-0697-41a2-b3d3-79afdcb7663c,0.15000000000000002,"(23, 10)","(35, 26)","(23, 34)",30,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/6de0104c-0697-41a2-b3d3-79afdcb7663c.png,9034
Bot 2,2542a8b8-ee51-4f82-b831-0176d73dd135,0.15000000000000002,"(23, 10)","(35, 26)","(23, 34)",30,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/2542a8b8-ee51-4f82-b831-0176d73dd135.png,9034
Bot 3,1647461c-5cee-490b-aa83-1ecd37ffc9f2,0.15000000000000002,"(23, 10)","(35, 26)","(23, 34)",30,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/1647461c-5cee-490b-aa83-1ecd37ffc9f2.png,9034
Bot 4,54145388-81b2-40ff-aa3a-d1af78ba07a3,0.15000000000000002,"(23, 10)","(35, 26)","(23, 34)",30,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/54145388-81b2-40ff-aa3a-d1af78ba07a3.png,9034
Bot 1,24ec5942-ac34-4e50-9579-becadae64791,0.15000000000000002,"(15, 10)","(10, 14)","(2, 38)",11,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/24ec5942-ac34-4e50-9579-becadae64791.png,7791
Bot 2,de86600c-3546-44d2-90a1-3c751121962e,0.15000000000000002,"(15, 10)","(10, 14)","(2, 38)",11,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/de86600c-3546-44d2-90a1-3c751121962e.png,7791
Bot 3,0659a65f-0fd5-4728-a9ff-d032472e1e9a,0.15000000000000002,"(15, 10)","(10, 14)","(2, 38)",11,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/0659a65f-0fd5-4728-a9ff-d032472e1e9a.png,7791
Bot 4,0b37749b-e7bc-4daf-9e7c-0bfc8cbf55b9,0.15000000000000002,"(15, 10)","(10, 14)","(2, 38)",11,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/0b37749b-e7bc-4daf-9e7c-0bfc8cbf55b9.png,7791
Bot 1,4bcc7dd2-940b-4974-afde-6a7675717d4d,0.15000000000000002,"(37, 37)","(4, 21)","(21, 27)",22,Bot ran into fire,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/4bcc7dd2-940b-4974-afde-6a7675717d4d.png,5680
Bot 2,fee68659-e364-46af-bd39-7817028d9b9a,0.15000000000000002,"(37, 37)","(4, 21)","(21, 27)",55,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/fee68659-e364-46af-bd39-7817028d9b9a.png,5680
Bot 3,5b7302c6-244a-4191-98ad-941c02607c0b,0.15000000000000002,"(37, 37)","(4, 21)","(21, 27)",61,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/5b7302c6-244a-4191-98ad-941c02607c0b.png,5680
Bot 4,4b6945a4-f4ee-49de-99ef-593374676433,0.15000000000000002,"(37, 37)","(4, 21)","(21, 27)",55,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/4b6945a4-f4ee-49de-99ef-593374676433.png,5680
Bot 1,18428ab1-98a1-4da7-ac2c-71509f1fd485,0.15000000000000002,"(25, 2)","(1, 16)","(11, 22)",40,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/18428ab1-98a1-4da7-ac2c-71509f1fd485.png,4929
Bot 2,894512b2-5568-47bf-86dc-891793e0c489,0.15000000000000002,"(25, 2)","(1, 16)","(11, 22)",40,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/894512b2-5568-47bf-86dc-891793e0c489.png,4929
Bot 3,c6f20f19-0cc1-4044-bf78-ba2bf7ca65ff,0.15000000000000002,"(25, 2)","(1, 16)","(11, 22)",40,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/c6f20f19-0cc1-4044-bf78-ba2bf7ca65ff.png,4929
Bot 4,0d5858f0-a865-48aa-a1ab-96b60c315a03,0.15000000000000002,"(25, 2)","(1, 16)","(11, 22)",40,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/0d5858f0-a865-48aa-a1ab-96b60c315a03.png,4929
Bot 4,8fcf8db1-2bea-44f4-b68e-81d0097c2440,0.15000000000000002,"(23, 18)","(23, 18)","(24, 35)",0,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/8fcf8db1-2bea-44f4-b68e-81d0097c2440.png,219
Bot 1,3087026b-df32-4aa6-a377-55c2bbeef85a,0.15000000000000002,"(22, 24)","(29, 21)","(35, 26)",14,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/3087026b-df32-4aa6-a377-55c2bbeef85a.png,6176
Bot 2,8f24adb2-da4b-46cd-bb39-dd526299a1d2,0.15000000000000002,"(22, 24)","(29, 21)","(35, 26)",14,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/8f24adb2-da4b-46cd-bb39-dd526299a1d2.png,6176
Bot 3,6c5bb0ad-fd0a-4553-8d91-7df209c41448,0.15000000000000002,"(22, 24)","(29, 21)","(35, 26)",14,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/6c5bb0ad-fd0a-4553-8d91-7df209c41448.png,6176
Bot 4,7e61553c-469a-429a-82a0-a81ab10bc02f,0.15000000000000002,"(22, 24)","(29, 21)","(35, 26)",14,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/7e61553c-469a-429a-82a0-a81ab10bc02f.png,6176
Bot 1,3335adbf-9a75-4946-8e20-f000aaf0553f,0.15000000000000002,"(2, 4)","(34, 31)","(37, 18)",61,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/3335adbf-9a75-4946-8e20-f000aaf0553f.png,9625
Bot 2,7b06fa92-057e-4152-8507-de3b235475da,0.15000000000000002,"(2, 4)","(34, 31)","(37, 18)",61,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/7b06fa92-057e-4152-8507-de3b235475da.png,9625
Bot 3,fb8b8833-f127-4f94-819d-e17f88d28314,0.15000000000000002,"(2, 4)","(34, 31)","(37, 18)",61,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/fb8b8833-f127-4f94-819d-e17f88d28314.png,9625
Bot 4,5a618dc4-0a36-44c4-abf3-82f62f0ee47a,0.15000000000000002,"(2, 4)","(34, 31)","(37, 18)",61,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/5a618dc4-0a36-44c4-abf3-82f62f0ee47a.png,9625
Bot 1,1b45ffe9-edeb-48a3-a95d-b5a05ee3a66c,0.15000000000000002,"(16, 12)","(38, 9)","(31, 31)",31,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/1b45ffe9-edeb-48a3-a95d-b5a05ee3a66c.png,658
Bot 2,7652e0a1-f549-4665-be00-7f15402688f2,0.15000000000000002,"(16, 12)","(38, 9)","(31, 31)",31,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/7652e0a1-f549-4665-be00-7f15402688f2.png,658
Bot 3,b26b3585-d66e-45e6-b4c3-ade7908c0c36,0.15000000000000002,"(16, 12)","(38, 9)","(31, 31)",31,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/b26b3585-d66e-45e6-b4c3-ade7908c0c36.png,658
Bot 4,dcb4a57c-dee7-4502-87c4-050df2cc9344,0.15000000000000002,"(16, 12)","(38, 9)","(31, 31)",31,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/dcb4a57c-dee7-4502-87c4-050df2cc9344.png,658
Bot 1,870a57ff-e931-4017-a008-375c5bdc3693,0.2,"(37, 38)","(20, 9)","(14, 27)",46,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/870a57ff-e931-4017-a008-375c5bdc3693.png,2685
Bot 2,11f1bd92-d1bd-4a99-9245-49f5474733b3,0.2,"(37, 38)","(20, 9)","(14, 27)",46,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/11f1bd92-d1bd-4a99-9245-49f5474733b3.png,2685
Bot 3,14456e5e-f5c0-4fdb-966c-fb98673e96a9,0.2,"(37, 38)","(20, 9)","(14, 27)",46,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/14456e5e-f5c0-4fdb-966c-fb98673e96a9.png,2685
Bot 4,fb3167f0-3c2d-4b37-9502-ebc83121eb84,0.2,"(37, 38)","(20, 9)","(14, 27)",46,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/fb3167f0-3c2d-4b37-9502-ebc83121eb84.png,2685
Bot 1,8d9e8ba4-4625-4c18-848e-b25378412d4b,0.2,"(1, 12)","(24, 10)","(21, 33)",33,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/8d9e8ba4-4625-4c18-848e-b25378412d4b.png,8989
Bot 2,32b4a3ba-6ad7-4b98-b25e-08f06addd166,0.2,"(1, 12)","(24, 10)","(21, 33)",33,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/32b4a3ba-6ad7-4b98-b25e-08f06addd166.png,8989
Bot 3,6b8a9a33-d55a-410f-b87e-5fb89302e383,0.2,"(1, 12)","(24, 10)","(21, 33)",33,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/6b8a9a33-d55a-410f-b87e-5fb89302e383.png,8989
Bot 4,0242c53a-b43c-4e31-b26a-2dd0f43493fc,0.2,"(1, 12)","(24, 10)","(21, 33)",33,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/0242c53a-b43c-4e31-b26a-2dd0f43493fc.png,8989
Bot 1,b880bf36-4b03-4368-8970-69a459a0e22c,0.2,"(19, 24)","(32, 24)","(2, 24)",23,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/b880bf36-4b03-4368-8970-69a459a0e22c.png,1330
Bot 2,26602be9-30db-4815-94b0-096de820c4fe,0.2,"(19, 24)","(32, 24)","(2, 24)",23,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/26602be9-30db-4815-94b0-096de820c4fe.png,1330
Bot 3,02540027-dd8b-45ea-991d-3cd167939f78,0.2,"(19, 24)","(32, 24)","(2, 24)",23,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/02540027-dd8b-45ea-991d-3cd167939f78.png,1330
Bot 4,6a3b6747-f197-4eb9-a1bb-b7e6c2457224,0.2,"(19, 24)","(32, 24)","(2, 24)",23,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/6a3b6747-f197-4eb9-a1bb-b7e6c2457224.png,1330
Bot 1,ba4b9902-568c-45c6-9766-90a6ebaf4c3e,0.2,"(15, 27)","(12, 6)","(28, 22)",32,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/ba4b9902-568c-45c6-9766-90a6ebaf4c3e.png,2941
Bot 2,24447a52-0854-44fd-b169-801cda3ac5cf,0.2,"(15, 27)","(12, 6)","(28, 22)",32,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/24447a52-0854-44fd-b169-801cda3ac5cf.png,2941
Bot 3,3e51161c-b4ec-4f7a-bcc5-0bde472431d3,0.2,"(15, 27)","(12, 6)","(28, 22)",32,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/3e51161c-b4ec-4f7a-bcc5-0bde472431d3.png,2941
Bot 4,d5a67f34-5274-43af-a1ef-1b4dd30f6ab8,0.2,"(15, 27)","(12, 6)","(28, 22)",32,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/d5a67f34-5274-43af-a1ef-1b4dd30f6ab8.png,2941
Bot 1,87bf18b8-48e9-40ff-b813-263474e058d9,0.2,"(34, 21)","(30, 29)","(6, 4)",28,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/87bf18b8-48e9-40ff-b813-263474e058d9.png,403
Bot 2,7b73f484-e350-4153-ba83-2be1a8e5a5c9,0.2,"(34, 21)","(30, 29)","(6, 4)",28,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/7b73f484-e350-4153-ba83-2be1a8e5a5c9.png,403
Bot 3,9ecf50d6-2467-41e6-a2bd-08953f846a1f,0.2,"(34, 21)","(30, 29)","(6, 4)",28,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/9ecf50d6-2467-41e6-a2bd-08953f846a1f.png,403
Bot 4,dc807243-d073-433a-835e-21b4a8ea7018,0.2,"(34, 21)","(30, 29)","(6, 4)",28,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/dc807243-d073-433a-835e-21b4a8ea7018.png,403
Bot 1,94f082d4-43d6-4951-a936-2d1530717b4e,0.2,"(20, 8)","(15, 3)","(18, 3)",6,Button caught fire,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/94f082d4-43d6-4951-a936-2d1530717b4e.png,3423
Bot 2,c893a57f-ade0-4467-b472-397ae3d828a4,0.2,"(20, 8)","(15, 3)","(18, 3)",11,Bot caught fire,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/c893a57f-ade0-4467-b472-397ae3d828a4.png,3423
Bot 3,8d016fc8-4c91-46cf-a328-776a6b9d2872,0.2,"(20, 8)","(15, 3)","(18, 3)",15,Button caught fire,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/8d016fc8-4c91-46cf-a328-776a6b9d2872.png,3423
Bot 4,50480fee-cb92-465f-9288-2d58e29dfe8a,0.2,"(20, 8)","(15, 3)","(18, 3)",12,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/50480fee-cb92-465f-9288-2d58e29dfe8a.png,3423
Bot 1,0af20095-cb92-48bc-b2e3-bde12afd4174,0.2,"(3, 28)","(14, 34)","(18, 9)",17,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/0af20095-cb92-48bc-b2e3-bde12afd4174.png,2783
Bot 2,588b9bb5-e633-4d98-aa6b-ccbd386c35e2,0.2,"(3, 28)","(14, 34)","(18, 9)",17,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/588b9bb5-e633-4d98-aa6b-ccbd386c35e2.png,2783
Bot 3,4f3187a9-8765-4f7c-a660-cf099eca3fff,0.2,"(3, 28)","(14, 34)","(18, 9)",17,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/4f3187a9-8765-4f7c-a660-cf099eca3fff.png,2783
Bot 4,b64d9549-e4ab-4af7-8361-aedb8e3fffb5,0.2,"(3, 28)","(14, 34)","(18, 9)",17,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/b64d9549-e4ab-4af7-8361-aedb8e3fffb5.png,2783
Bot 1,724ea9e2-e408-477b-bf3b-461fb6b0b701,0.2,"(18, 2)","(1, 13)","(6, 38)",28,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/724ea9e2-e408-477b-bf3b-461fb6b0b701.png,3817
Bot 2,52c83eb7-808d-45cc-82d5-e83b2918b15d,0.2,"(18, 2)","(1, 13)","(6, 38)",28,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/52c83eb7-808d-45cc-82d5-e83b2918b15d.png,3817
Bot 3,be439d94-8675-4e04-9467-fa77b5cf8ec3,0.2,"(18, 2)","(1, 13)","(6, 38)",28,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/be439d94-8675-4e04-9467-fa77b5cf8ec3.png,3817
Bot 4,3be4c254-cb5e-44cc-a85f-c09f3d8033eb,0.2,"(18, 2)","(1, 13)","(6, 38)",28,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/3be4c254-cb5e-44cc-a85f-c09f3d8033eb.png,3817
Bot 1,0f7fd1b3-fdb8-4b5b-a4de-78b3a86b4883,0.2,"(25, 12)","(6, 37)","(22, 37)",44,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/0f7fd1b3-fdb8-4b5b-a4de-78b3a86b4883.png,1078
Bot 2,72a9725a-d0c2-4c3f-b4a8-73301b4432d4,0.2,"(25, 12)","(6, 37)","(22, 37)",44,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/72a9725a-d0c2-4c3f-b4a8-73301b4432d4.png,1078
Bot 3,858840ae-f91b-4a1a-8600-1365aa3c9344,0.2,"(25, 12)","(6, 37)","(22, 37)",44,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/858840ae-f91b-4a1a-8600-1365aa3c9344.png,1078
Bot 4,46a8aaef-bb74-4b58-b587-871448a17189,0.2,"(25, 12)","(6, 37)","(22, 37)",44,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/46a8aaef-bb74-4b58-b587-871448a17189.png,1078
Bot 1,a095f4e7-8714-48a3-9ed8-15341dc7487c,0.2,"(8, 2)","(8, 20)","(15, 10)",28,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/a095f4e7-8714-48a3-9ed8-15341dc7487c.png,6555
Bot 2,58d0cb95-1b5f-462a-bc20-96ed95954a6f,0.2,"(8, 2)","(8, 20)","(15, 10)",10,Bot caught fire,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/58d0cb95-1b5f-462a-bc20-96ed95954a6f.png,6555
Bot 3,63434c66-ba3f-4d88-b751-94102a44d12f,0.2,"(8, 2)","(8, 20)","(15, 10)",28,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/63434c66-ba3f-4d88-b751-94102a44d12f.png,6555
Bot 4,47234233-0f1e-447c-b3dd-fdd268e54c1e,0.2,"(8, 2)","(8, 20)","(15, 10)",28,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/47234233-0f1e-447c-b3dd-fdd268e54c1e.png,6555
Bot 1,d452ee18-dfd6-4043-b00e-81467aa1164d,0.25,"(35, 18)","(37, 9)","(32, 36)",15,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/d452ee18-dfd6-4043-b00e-81467aa1164d.png,1042
Bot 2,0fd99698-5fee-4bb0-a680-ebd5fb5a550a,0.25,"(35, 18)","(37, 9)","(32, 36)",15,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/0fd99698-5fee-4bb0-a680-ebd5fb5a550a.png,1042
Bot 3,89406da3-5072-4211-9a18-7e156517a14c,0.25,"(35, 18)","(37, 9)","(32, 36)",15,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/89406da3-5072-4211-9a18-7e156517a14c.png,1042
Bot 4,1f792264-6620-488b-8bf1-0b0c264f50dd,0.25,"(35, 18)","(37, 9)","(32, 36)",15,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/1f792264-6620-488b-8bf1-0b0c264f50dd.png,1042
Bot 1,0e4530d7-09e1-4e2b-8341-b48846514994,0.25,"(31, 10)","(13, 20)","(23, 3)",30,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/0e4530d7-09e1-4e2b-8341-b48846514994.png,7210
Bot 2,14b07132-1904-404c-82c9-2874a77185f4,0.25,"(31, 10)","(13, 20)","(23, 3)",30,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/14b07132-1904-404c-82c9-2874a77185f4.png,7210
Bot 3,46a5c43b-0424-4e07-b63e-ce550a5e9c97,0.25,"(31, 10)","(13, 20)","(23, 3)",30,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/46a5c43b-0424-4e07-b63e-ce550a5e9c97.png,7210
Bot 4,e19d6e29-a0b7-447c-81d3-0c5eca220713,0.25,"(31, 10)","(13, 20)","(23, 3)",30,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/e19d6e29-a0b7-447c-81d3-0c5eca220713.png,7210
Bot 1,8477845d-75cd-4f95-820a-7c1fefdb3385,0.25,"(21, 23)","(11, 14)","(37, 38)",21,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/8477845d-75cd-4f95-820a-7c1fefdb3385.png,2472
Bot 2,82bfd6ad-99a2-4af8-a02e-f3f891de6c40,0.25,"(21, 23)","(11, 14)","(37, 38)",21,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/82bfd6ad-99a2-4af8-a02e-f3f891de6c40.png,2472
Bot 3,f4f53684-fa1b-467f-b20b-a85c83107e50,0.25,"(21, 23)","(11, 14)","(37, 38)",21,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/f4f53684-fa1b-467f-b20b-a85c83107e50.png,2472
Bot 4,ec9f6cca-a7bd-455b-a9ab-5161a1272d4c,0.25,"(21, 23)","(11, 14)","(37, 38)",21,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/ec9f6cca-a7bd-455b-a9ab-5161a1272d4c.png,2472
Bot 1,cdd965a5-04e5-467a-9fca-6c7eef67573a,0.25,"(1, 28)","(2, 32)","(27, 30)",5,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/cdd965a5-04e5-467a-9fca-6c7eef67573a.png,7374
Bot 2,2a57b5fb-49c8-480d-9529-a527ec18603c,0.25,"(1, 28)","(2, 32)","(27, 30)",5,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/2a57b5fb-49c8-480d-9529-a527ec18603c.png,7374
Bot 3,399a8dbb-eee7-4e56-929d-184a0f11dfbd,0.25,"(1, 28)","(2, 32)","(27, 30)",5,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/399a8dbb-eee7-4e56-929d-184a0f11dfbd.png,7374
Bot 4,4f3f0ebc-05a6-4cb6-95b1-737590c1eaab,0.25,"(1, 28)","(2, 32)","(27, 30)",5,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/4f3f0ebc-05a6-4cb6-95b1-737590c1eaab.png,7374
Bot 1,e60344a1-601a-45f3-bf7d-a8cde8e73047,0.25,"(38, 15)","(34, 17)","(17, 15)",6,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/e60344a1-601a-45f3-bf7d-a8cde8e73047.png,8686
Bot 2,16b113ee-81ad-4783-8751-ae62f793c292,0.25,"(38, 15)","(34, 17)","(17, 15)",6,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/16b113ee-81ad-4783-8751-ae62f793c292.png,8686
Bot 3,9083189c-9368-4cef-b9f5-880199f95ad5,0.25,"(38, 15)","(34, 17)","(17, 15)",6,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/9083189c-9368-4cef-b9f5-880199f95ad5.png,8686
Bot 4,d617a9fb-d198-4438-95cd-1cf348c78c30,0.25,"(38, 15)","(34, 17)","(17, 15)",6,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/d617a9fb-d198-4438-95cd-1cf348c78c30.png,8686
Bot 1,e8dd25f8-467a-4ff8-87bb-ec06c12cda88,0.25,"(17, 36)","(2, 24)","(29, 31)",27,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/e8dd25f8-467a-4ff8-87bb-ec06c12cda88.png,9911
