bot_type,run_id,q,bot_pos_init,button_pos_init,fire_init,steps,result,final_frame,seed_value
Bot 2,8841465b-7729-44a9-bb46-cb3df26f5249,0.0,"(30, 27)","(35, 11)","(20, 14)",23,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/8841465b-7729-44a9-bb46-cb3df26f5249.png,3949
Bot 3,26fec5a6-e597-4648-8dc2-84090fac8d96,0.0,"(30, 27)","(35, 11)","(20, 14)",23,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/26fec5a6-e597-4648-8dc2-84090fac8d96.png,3949
Bot 4,97cb4df9-4395-45c9-959d-3464f0658518,0.0,"(30, 27)","(35, 11)","(20, 14)",23,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/97cb4df9-4395-45c9-959d-3464f0658518.png,3949
Bot 1,c2bd5bf6-e69b-467b-9a97-fdbcbd75003a,0.0,"(4, 30)","(28, 32)","(35, 5)",38,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/c2bd5bf6-e69b-467b-9a97-fdbcbd75003a.png,1982
Bot 2,78727422-1938-47b6-a16d-4cb54094de5e,0.0,"(4, 30)","(28, 32)","(35, 5)",38,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/78727422-1938-47b6-a16d-4cb54094de5e.png,1982
Bot 3,6ebadda2-6306-47c6-bafb-b00ffb7e936b,0.0,"(4, 30)","(28, 32)","(35, 5)",38,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/6ebadda2-6306-47c6-bafb-b00ffb7e936b.png,1982
Bot 4,ef2351e7-607f-4d85-9f4a-f31261c8a38b,0.0,"(4, 30)","(28, 32)","(35, 5)",38,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/ef2351e7-607f-4d85-9f4a-f31261c8a38b.png,1982
Bot 1,171eaf9d-6da0-460d-9baf-674c17375ad1,0.0,"(5, 18)","(12, 15)","(14, 28)",10,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/171eaf9d-6da0-460d-9baf-674c17375ad1.png,9301
Bot 2,7c9b7a0f-a78e-4ca8-8be3-34889cad23fa,0.0,"(5, 18)","(12, 15)","(14, 28)",10,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/7c9b7a0f-a78e-4ca8-8be3-34889cad23fa.png,9301
Bot 3,559172ea-306c-490c-9ac2-8f216b3ed153,0.0,"(5, 18)","(12, 15)","(14, 28)",10,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/559172ea-306c-490c-9ac2-8f216b3ed153.png,9301
Bot 4,24423fcd-203d-4a23-9f28-ebd80a0b327a,0.0,"(5, 18)","(12, 15)","(14, 28)",10,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/24423fcd-203d-4a23-9f28-ebd80a0b327a.png,9301
