Bot Type,run_id,q,bot_pos_init,button_pos_init,fire_init,steps,result,final_frame,seed_value
Bot 2,6b4a4d9e-d37c-45e7-9674-6cff5f9730dd,0.0,"(18, 25)","(38, 37)","(32, 33)",34,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/6b4a4d9e-d37c-45e7-9674-6cff5f9730dd.png,84580
Bot 3,ab03f89d-96bd-4708-9a8a-f390b3bd74bb,0.0,"(18, 25)","(38, 37)","(32, 33)",34,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/ab03f89d-96bd-4708-9a8a-f390b3bd74bb.png,84580
Bot 4,9833f2b6-fb23-49b9-b9c8-2e84652e0bff,0.0,"(18, 25)","(38, 37)","(32, 33)",34,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/9833f2b6-fb23-49b9-b9c8-2e84652e0bff.png,84580
Bot 1,24739db0-af3f-4033-b3d5-1659da8e1a33,0.0,"(31, 6)","(24, 3)","(33, 16)",10,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/24739db0-af3f-4033-b3d5-1659da8e1a33.png,95411
Bot 2,f6f579cf-d736-4566-a581-0e1dd2810433,0.0,"(31, 6)","(24, 3)","(33, 16)",10,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/f6f579cf-d736-4566-a581-0e1dd2810433.png,95411
Bot 3,8a03444a-8879-4913-a8f8-37a70bb077a6,0.0,"(31, 6)","(24, 3)","(33, 16)",10,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/8a03444a-8879-4913-a8f8-37a70bb077a6.png,95411
Bot 4,64b55725-3638-4871-ae9e-79a9877e9ba4,0.0,"(31, 6)","(24, 3)","(33, 16)",10,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/64b55725-3638-4871-ae9e-79a9877e9ba4.png,95411
Bot 1,26d515b2-d50d-4e0f-8e89-a2068e0749a1,0.0,"(32, 33)","(27, 36)","(3, 38)",8,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/26d515b2-d50d-4e0f-8e89-a2068e0749a1.png,29441
Bot 2,877c8a22-59c8-49ce-a4fd-5836182bde22,0.0,"(32, 33)","(27, 36)","(3, 38)",8,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/877c8a22-59c8-49ce-a4fd-5836182bde22.png,29441
Bot 3,694302d7-baaa-41ba-8b52-9deefbfbe321,0.0,"(32, 33)","(27, 36)","(3, 38)",8,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/694302d7-baaa-41ba-8b52-9deefbfbe321.png,29441
Bot 4,c46d46bd-f8d7-4a7f-95ce-65c2a80658de,0.0,"(32, 33)","(27, 36)","(3, 38)",8,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/c46d46bd-f8d7-4a7f-95ce-65c2a80658de.png,29441
